"0","library(dplyr)"
"0","library(vegan)"
"2","Loading required package: permute
"
"2","Loading required package: lattice
"
"2","This is vegan 2.5-6
"
"0","dists<-traffic%>%select(car, suv)%>%dist()"
"0","adonis(dists~speedcamera,data=traffic)"
"1","
Call:
"
"1","adonis(formula = dists ~ speedcamera, data = traffic)"
"1"," "
"1","

"
"1","Permutation: free
Number of permutations: 999
"
"1","
"
"1","Terms added sequentially (first to last)
"
"1","
"
"1","           "
"1"," Df"
"1"," SumsOfSqs"
"1"," MeanSqs"
"1"," F.Model"
"1","      R2"
"1"," Pr(>F)"
"1","
speedcamera"
"1","  1"
"1","     276.7"
"1","  276.68"
"1","  1.6554"
"1"," 0.03268"
"1","   0.18"
"1","
Residuals  "
"1"," 49"
"1","    8189.7"
"1","  167.14"
"1","        "
"1"," 0.96732"
"1","       "
"1","
Total      "
"1"," 50"
"1","    8466.4"
"1","        "
"1","        "
"1"," 1.00000"
"1","       "
"1","
"
"0","{hist(dists);abline(v=1.6554, col=""red"")}"
